venue,city,country,format,matches,innings,runs,dismissals,not_outs,average,strike_rate,highest_score
"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,T20I,1,1,46,1,0,46.00,164.29,46
Trent Bridge,Nottingham,England,T20I,3,3,45,3,0,15.00,97.83,26
Melbourne Cricket Ground,,Australia,T20I,3,3,44,2,1,22.00,81.48,21*
"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India,T20I,3,3,44,3,0,14.67,89.80,30
Barabati Stadium,Cuttack,India,T20I,2,2,44,1,1,44.00,146.67,39*
Central Broward Regional Park Stadium Turf Ground,Lauderhill,United States of America,T20I,2,1,43,1,0,43.00,172.00,43
Lord's,London,England,T20I,2,2,41,1,1,41.00,95.35,30*
M.Chinnaswamy Stadium,Bengaluru,India,T20I,1,1,40,1,0,40.00,173.91,40
"Beausejour Stadium, Gros Islet",St Lucia,Saint Lucia,T20I,2,2,39,0,2,NA [Not Out],156.00,23*
Green Park,Kanpur,India,T20I,1,1,36,0,1,NA [Not Out],133.33,36*
Eden Gardens,Kolkata,India,T20I,2,2,34,1,1,34.00,97.14,21
"Sardar Patel Stadium, Motera",Ahmedabad,India,T20I,1,1,33,1,0,33.00,143.48,33
Sophia Gardens,Cardiff,England,T20I,1,1,32,0,1,NA [Not Out],133.33,32*
"Kensington Oval, Bridgetown",Barbados,Barbados,T20I,2,2,31,2,0,15.50,119.23,29
New Wanderers Stadium,Johannesburg,South Africa,T20I,4,3,30,3,0,10.00,93.75,24
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,T20I,2,1,29,0,1,NA [Not Out],78.38,29*
Harare Sports Club,,Zimbabwe,T20I,3,2,28,1,1,28.00,93.33,19*
Holkar Cricket Stadium,Indore,India,T20I,1,1,28,1,0,28.00,133.33,28
Edgbaston,Birmingham,England,T20I,1,1,27,0,1,NA [Not Out],150.00,27*
Subrata Roy Sahara Stadium,Pune,India,T20I,1,1,24,0,1,NA [Not Out],114.29,24*
"MA Chidambaram Stadium, Chepauk",Chennai,India,T20I,1,1,22,0,1,NA [Not Out],95.65,22*
Himachal Pradesh Cricket Association Stadium,Dharmasala,India,T20I,1,1,20,0,1,NA [Not Out],166.67,20*
Eden Park,Auckland,New Zealand,T20I,1,1,20,0,1,NA [Not Out],117.65,20*
"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Unknown,T20I,1,1,18,0,1,NA [Not Out],180.00,18*
Pallekele International Cricket Stadium,,Sri Lanka,T20I,1,1,16,0,1,NA [Not Out],114.29,16*
The Wanderers Stadium,Johannesburg,South Africa,T20I,1,1,16,1,0,16.00,145.45,16
Barsapara Cricket Stadium,Guwahati,India,T20I,1,1,13,1,0,13.00,81.25,13
Newlands,Cape Town,South Africa,T20I,1,1,12,1,0,12.00,109.09,12
Adelaide Oval,,Australia,T20I,1,1,11,0,1,NA [Not Out],366.67,11*
"The Village, Malahide",Dublin,Unknown,T20I,1,1,11,1,0,11.00,220.00,11
Moses Mabhida Stadium,Durban,South Africa,T20I,1,1,10,0,1,NA [Not Out],90.91,10*
Brabourne Stadium,Mumbai,India,T20I,1,1,9,0,1,NA [Not Out],180.00,9*
JSCA International Stadium Complex,Ranchi,India,T20I,2,1,9,0,1,NA [Not Out],180.00,9*
Old Trafford,Manchester,England,T20I,2,1,8,1,0,8.00,100.00,8
Arun Jaitley Stadium,Delhi,India,T20I,1,1,7,0,1,NA [Not Out],350.00,7*
AMI Stadium,Christchurch,New Zealand,T20I,1,1,2,1,0,2.00,33.33,2
Maharashtra Cricket Association Stadium,Pune,India,T20I,1,1,2,1,0,2.00,100.00,2
"Sabina Park, Kingston",Jamaica,Jamaica,T20I,1,1,2,1,0,2.00,66.67,2
Seddon Park,Hamilton,New Zealand,T20I,1,1,2,1,0,2.00,50.00,2
"R.Premadasa Stadium, Khettarama",Colombo,Sri Lanka,T20I,1,1,1,0,1,NA [Not Out],100.00,1*
Greenfield International Stadium,Thiruvananthapuram,Pakistan,T20I,1,1,0,0,1,0.00,0.00,0
Eden Gardens,Kolkata,India,TEST,5,7,457,5,2,91.40,66.72,144
"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India,TEST,4,6,339,6,0,56.50,47.02,99
"MA Chidambaram Stadium, Chepauk",Chennai,India,TEST,3,3,293,3,0,97.67,77.11,224
Kennington Oval,London,England,TEST,3,6,230,6,0,38.33,64.07,92
"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,TEST,4,8,227,6,2,37.83,63.76,92
"Sardar Patel Stadium, Motera",Ahmedabad,India,TEST,4,6,213,6,0,35.50,49.42,110
Kingsmead,Durban,South Africa,TEST,3,6,176,6,0,29.33,65.92,47
Basin Reserve,Wellington,New Zealand,TEST,2,3,176,2,1,88.00,68.22,68
Edgbaston,Birmingham,England,TEST,1,2,151,1,1,151.00,86.29,77
M Chinnaswamy Stadium,Bangalore,India,TEST,3,4,149,3,1,49.67,51.03,62
Iqbal Stadium,Faisalabad,Pakistan,TEST,1,1,148,1,0,148.00,96.73,148
Lord's,London,England,TEST,3,6,140,5,1,28.00,33.41,76*
"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,TEST,3,3,131,3,0,43.67,62.09,73
SuperSport Park,Centurion,South Africa,TEST,1,2,123,2,0,61.50,78.85,90
Trent Bridge,Nottingham,England,TEST,3,5,103,5,0,20.60,52.02,82
Brabourne Stadium,Mumbai,India,TEST,1,1,100,0,1,NA [Not Out],64.94,100*
Old Trafford,Manchester,England,TEST,1,2,98,2,0,49.00,63.23,71
Sydney Cricket Ground,,Australia,TEST,2,4,96,3,1,32.00,52.46,57*
Shere Bangla National Stadium,Mirpur,Pakistan,TEST,1,1,89,1,0,89.00,53.29,89
"Antigua Recreation Ground, St John's",Antigua,West Indies,TEST,1,2,88,2,0,44.00,111.39,69
Sinhalese Sports Club Ground,Colombo,Sri Lanka,TEST,1,1,76,1,0,76.00,55.07,76
Melbourne Cricket Ground,,Australia,TEST,3,6,75,5,1,15.00,50.68,24*
"Windsor Park, Roseau",Dominica,Unknown,TEST,1,1,74,1,0,74.00,55.64,74
Western Australia Cricket Association Ground,Perth,Australia,TEST,2,4,71,4,0,17.75,40.11,38
Sardar Patel Stadium,Ahmedabad,India,TEST,1,2,63,2,0,31.50,76.83,49
Feroz Shah Kotla,Delhi,India,TEST,3,5,63,3,2,21.00,85.14,27
Wankhede Stadium,Mumbai,India,TEST,3,5,60,5,0,12.00,40.27,29
Arun Jaitley Stadium,Delhi,India,TEST,1,1,57,1,0,57.00,61.29,57
The Rose Bowl,Southampton,England,TEST,1,2,56,2,0,28.00,45.16,50
Zahur Ahmed Chowdhury Stadium,Chattogram,Unknown,TEST,1,2,53,1,1,53.00,96.36,36
"Shere Bangla National Stadium, Mirpur",Dhaka,Pakistan,TEST,1,1,51,0,1,NA [Not Out],102.00,51*
"Warner Park, Basseterre",St Kitts,Saint Kitts and Nevis,TEST,1,2,49,2,0,24.50,55.68,29
Eden Park,Auckland,New Zealand,TEST,1,2,49,2,0,24.50,71.01,39
New Wanderers Stadium,Johannesburg,South Africa,TEST,1,2,48,2,0,24.00,41.38,29
Seddon Park,Hamilton,New Zealand,TEST,1,1,47,1,0,47.00,38.21,47
"Sabina Park, Kingston",Jamaica,Jamaica,TEST,2,4,38,4,0,9.50,62.30,19
Galle International Stadium,,Sri Lanka,TEST,1,2,37,2,0,18.50,71.15,33
Adelaide Oval,,Australia,TEST,1,2,36,2,0,18.00,33.33,20
Green Park,Kanpur,India,TEST,2,2,36,2,0,18.00,52.17,32
"Brisbane Cricket Ground, Woolloongabba",Brisbane,Australia,TEST,1,2,33,2,0,16.50,60.00,33
National Stadium,Karachi,Pakistan,TEST,1,2,31,2,0,15.50,64.58,18
The Wanderers Stadium,Johannesburg,South Africa,TEST,1,2,23,2,0,11.50,51.11,18
Vidarbha C.A. Ground,Nagpur,India,TEST,1,2,21,2,0,10.50,67.74,16
"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Unknown,TEST,1,1,16,1,0,16.00,72.73,16
P Sara Oval,Colombo,Sri Lanka,TEST,1,1,15,1,0,15.00,50.00,15
"Daren Sammy National Cricket Stadium, Gros Islet",St Lucia,West Indies,TEST,1,1,9,1,0,9.00,26.47,9
"Kensington Oval, Bridgetown",Barbados,Barbados,TEST,1,2,7,2,0,3.50,25.93,5
Newlands,Cape Town,South Africa,TEST,1,1,0,1,0,0.00,0.00,0
